traj,method,dJ_raw,det_vs_M0,et
vi,M0_raw_p2p,0.0074230243920212,0.0,167.325263815381
vi,M0_raw_p2p,0.0071985019101938,0.0,167.48296442893144
vi,M0_raw_p2p,0.0075226422969752,0.0,173.2980905011048
vi,M0_raw_p2p,0.0061654334104905,0.0,160.92697247757445
vi,M0_raw_p2p,0.0060681241426441,0.0,161.97352733197442
vi,M0_raw_p2p,0.0059816202515048,0.0,158.55648138854312
vi,M0_raw_p2p,0.0072646471859143,0.0,169.25049803969063
vi,M0_raw_p2p,0.007269926245376,0.0,171.0491960099045
vi,M0_raw_p2p,0.0078900763333322,0.0,174.76772426031093
vi,M0_raw_p2p,0.0072102853324685,0.0,171.943414156315
vi,M0_raw_p2p,0.006724458171892,0.0,164.07611949653568
vi,M0_raw_p2p,0.00566577947656,0.0,153.70343685454984
vi,M0_raw_p2p,0.005877914642516,0.0,158.42411654808822
vi,M0_raw_p2p,0.0056761812659369,0.0,157.00417428069878
vi,M0_raw_p2p,0.0065757695657681,0.0,167.53618671274089
vi,M0_raw_p2p,0.0067404315883151,0.0,166.73285885576394
vi,M0_raw_p2p,0.0070464405456293,0.0,169.2620621372592
vi,M0_raw_p2p,0.0062906530427204,0.0,163.70390341946205
vi,M0_raw_p2p,0.0061597314496139,0.0,163.90606551228535
vi,M0_raw_p2p,0.0065968968384085,0.0,162.39453725152765
vi,M0_raw_p2p,0.0072699574419231,0.0,170.18456764944426
vi,M0_raw_p2p,0.0072671698020733,0.0,168.83916811492188
vi,M0_raw_p2p,0.0084658531434747,0.0,178.4287862168472
vi,M0_raw_p2p,0.0078104138218259,0.0,173.70077073374077
vi,M0_raw_p2p,0.0066395907404109,0.0,165.22863611562423
vi,M0_raw_p2p,0.005990056479062,0.0,159.5265427591356
vi,M0_raw_p2p,0.0075303053003845,0.0,170.50493138468735
vi,M0_raw_p2p,0.0086630355515067,0.0,177.1353425062904
vi,M0_raw_p2p,0.0093556700850528,0.0,181.9985815272385
vi,M0_raw_p2p,0.0080902035536453,0.0,175.94615225493322
vi,M0_raw_p2p,0.0070911155961589,0.0,167.9244982974671
vi,M0_raw_p2p,0.0065613757529533,0.0,163.79764854702017
vi,M0_raw_p2p,0.0060725463258248,0.0,158.0890801854044
vi,M0_raw_p2p,0.0067476017058367,0.0,165.8425097662203
vi,M0_raw_p2p,0.0075238280059725,0.0,175.25620017956
vi,M0_raw_p2p,0.0070422739223261,0.0,171.18548708368002
vi,M0_raw_p2p,0.0063113647268659,0.0,164.58726881420571
vi,M0_raw_p2p,0.0058851017569001,0.0,162.04456683290886
vi,M0_raw_p2p,0.00512667045267,0.0,154.74439026767334
vi,M0_raw_p2p,0.0051976025708953,0.0,150.30226804290396
vi,M0_raw_p2p,0.0061347455424955,0.0,155.293337532281
vi,M0_raw_p2p,0.0068211910241799,0.0,161.47999343673138
vi,M0_raw_p2p,0.0069239310907052,0.0,165.14152504063048
vi,M0_raw_p2p,0.0073015496984058,0.0,169.6179632746749
vi,M0_raw_p2p,0.0068748909973102,0.0,166.87569209280224
vi,M0_raw_p2p,0.0057233309582958,0.0,159.37933167305215
vi,M0_raw_p2p,0.0052618760963262,0.0,153.78881402244926
vi,M0_raw_p2p,0.0055173236479281,0.0,155.79287544213216
vi,M0_raw_p2p,0.0066848362878468,0.0,163.7602049006367
vi,M0_raw_p2p,0.0070354021913955,0.0,168.0038120529935
vi,M0_raw_p2p,0.0078494961440618,0.0,174.36388003897343
vi,M0_raw_p2p,0.0072025974000693,0.0,169.67118740209332
vi,M0_raw_p2p,0.0066869720659465,0.0,164.25550575097438
vi,M0_raw_p2p,0.0054948773040173,0.0,153.59695335352347
vi,M0_raw_p2p,0.0053111659079279,0.0,151.96956508436267
