trajectory,order,kind,idempotence_P2_rel,normal_eq_resid_rel,pjw_identity_abs_diff_mm,factor2_grad_maxdiff,fd_step_vs_cached_maxdiff
II,283,p2l,1.2892062075327391e-14,1.3902030594096838e-15,2.2898349882893854e-13,0.013615938600107989,0.0
II,284,p2p,8.108287332399886e-15,3.3622386737155975e-16,6.938893903907228e-15,0.0001262913867328616,0.0
II,284,p2l,1.4662129833625552e-14,5.347890256757059e-16,2.7755575615628914e-13,0.04503557204615986,0.0
II,285,p2p,2.87594487106124e-15,9.961938078765947e-16,6.938893903907228e-15,0.00012151178814677477,0.0
II,285,p2l,1.0846216485066417e-14,2.848964791883656e-16,1.8735013540549517e-13,0.007097107449122151,0.0
II,286,p2p,2.8948270232097195e-15,1.276936969620055e-15,1.0408340855860843e-14,7.106258240717781e-05,0.0
II,286,p2l,1.1566097566965311e-14,2.940226316069037e-16,2.42861286636753e-13,0.015872568103743205,0.0
II,287,p2p,1.937246396167438e-15,5.141222709822185e-16,3.469446951953614e-15,5.48921412312723e-05,0.0
II,287,p2l,1.215764397308321e-14,4.722174167055738e-16,2.0122792321330962e-13,0.002716219710917689,0.0
II,288,p2p,2.0828718087125837e-15,2.5281800139142057e-16,3.469446951953614e-15,0.00010323856808944556,0.0
II,288,p2l,1.1934654209195727e-14,1.2164545498581609e-15,2.0816681711721685e-13,0.004455582015256918,0.0
II,289,p2p,2.473640877163996e-15,8.447851560019668e-16,1.0408340855860843e-14,0.00012191365212488835,0.0
II,289,p2l,1.690891234471771e-14,3.5616235275620755e-16,2.7755575615628914e-13,0.0025807192827383904,0.0
II,290,p2p,2.1668994401816016e-15,5.203148603260293e-16,6.938893903907228e-15,7.976619024239941e-05,0.0
