experiment,scope,level_or_fold,method,metric,value,note
E1,VI,L3,Raw,eR_med,4.381228,
E1,VI,L3,Raw,captureA_rate,0.0,
E1,VI,L3,Raw,captureB_rate,0.0,
E1,VI,L3,Raw,safeguard_rate,0.0,
E1,VI,L3,Raw,itercap_rate,0.725,
E1,VI,L3,Raw,numfail_rate,0.0,
E1,VI,L3,Raw,PatchRaw_gain_t_med,44.583865,
E1,VI,L3,Raw,PatchRaw_frac_pos,1.0,
E1,VI,L4,Raw,et_med,160.890499,
E1,VI,L4,Raw,eR_med,4.325786,
E1,VI,L4,Raw,captureA_rate,0.0,
E1,VI,L4,Raw,captureB_rate,0.0,
E1,VI,L4,Raw,safeguard_rate,0.0,
E1,VI,L4,Raw,itercap_rate,0.85,
E1,VI,L4,Raw,numfail_rate,0.0,
E1,VI,L4,Raw,PatchRaw_gain_t_med,44.704109,
E1,VI,L4,Raw,PatchRaw_frac_pos,1.0,
E1,VI,L5,Raw,et_med,160.092527,
E1,VI,L5,Raw,eR_med,4.142855,
E1,VI,L5,Raw,captureA_rate,0.975,
E1,VI,L5,Raw,captureB_rate,0.0,
E1,VI,L5,Raw,safeguard_rate,0.025,
E1,VI,L5,Raw,itercap_rate,0.9125,
E1,VI,L5,Raw,numfail_rate,0.0,
E1,VI,L5,Raw,PatchRaw_gain_t_med,44.49126,
E1,VI,L5,Raw,PatchRaw_frac_pos,0.975,
E1,VI,L6,Raw,et_med,162.454495,
E1,VI,L6,Raw,eR_med,4.741583,
E1,VI,L6,Raw,captureA_rate,0.7625,
E1,VI,L6,Raw,captureB_rate,0.0,
E1,VI,L6,Raw,safeguard_rate,0.35,
E1,VI,L6,Raw,itercap_rate,0.6125,
E1,VI,L6,Raw,numfail_rate,0.0,
E1,VI,L6,Raw,PatchRaw_gain_t_med,45.808957,
E1,VI,L6,Raw,PatchRaw_frac_pos,0.9,
E2,VI_heldout,"fold0_[0,70)",Raw,et_med,151.236684,
E2,VI_heldout,"fold0_[0,70)",PatchOOF,et_med,112.001121,
E2,VI_heldout,"fold0_[0,70)",Raw-PatchOOF,paired_benefit_med,40.59434,
E2,VI_heldout,"fold0_[0,70)",Raw-PatchOOF,trans_improved_frac,1.0,
E2,VI_heldout,"fold1_[70,140)",Raw,et_med,151.717196,
E2,VI_heldout,"fold1_[70,140)",PatchOOF,et_med,111.047783,
E2,VI_heldout,"fold1_[70,140)",Raw-PatchOOF,paired_benefit_med,38.700219,
E2,VI_heldout,"fold1_[70,140)",Raw-PatchOOF,trans_improved_frac,1.0,
E2,VI_heldout,"fold2_[140,219)",Raw,et_med,165.481606,
E2,VI_heldout,"fold2_[140,219)",PatchOOF,et_med,125.043139,
E2,VI_heldout,"fold2_[140,219)",Raw-PatchOOF,paired_benefit_med,41.905789,
E2,VI_heldout,"fold2_[140,219)",Raw-PatchOOF,trans_improved_frac,1.0,
E2,VI_heldout,"fold3_[219,315)",Raw,et_med,168.387937,
E2,VI_heldout,"fold3_[219,315)",PatchOOF,et_med,123.567207,
E2,VI_heldout,"fold3_[219,315)",Raw-PatchOOF,paired_benefit_med,45.27914,
E2,VI_heldout,"fold3_[219,315)",Raw-PatchOOF,trans_improved_frac,1.0,
E2,VI_heldout,"fold4_[315,418)",Raw,et_med,164.174331,
E2,VI_heldout,"fold4_[315,418)",PatchOOF,et_med,117.854846,
