trajectory,actual_t_mm,an_t_mm,fd_t_mm,cond
VI,176.55526568841591,38.25571564269109,394.6637053929286,7.148336565367044
VI,178.97536996749153,39.260254970751376,415.5007483762414,7.447212193776777
VI,176.08523745403318,35.88463253985875,475.12745472445545,7.402435361483049
VI,173.19362978581455,37.14881805337596,276.37723388707445,7.377686489000429
VI,169.2182700607005,35.91101895146489,291.3525609700244,7.237615263187816
VI,168.70341494856763,35.33533876317275,517.751881232377,6.976376148092195
VI,165.30863182146277,34.57752514361851,335.83714537836585,7.576625907872087
VI,155.51411520437,34.20834534186526,499.1490975304823,7.712795281120634
VI,156.30598999204085,37.864720034954246,546.052332395547,7.82508536812155
VI,158.57210821952847,39.05048513775505,1700.289019160116,7.739751050916303
VI,169.3486535785327,38.0317355202462,289.74602079742124,7.665191875096624
VI,171.02305603248018,39.29528151995245,348.0578187209748,8.03595977593166
VI,170.52881439255833,36.908271584731374,385.035138798573,8.295175205725261
VI,168.84566532510192,35.244017176561144,275.2113069232024,8.157871684226379
VI,171.62110241327554,34.656803638347725,577.7904854098767,7.963130188115216
VI,171.16789055116132,35.9180354183252,470.8219771493525,8.003723620803543
VI,168.89005852093388,34.0324600793761,432.6140422656921,7.915057680614887
VI,164.60575391629868,32.662013162490474,300.5305448125598,8.000524018167111
VI,161.1709729747096,31.69444096228026,379.28657707677314,7.854426435586604
VI,163.05431825948077,32.6740561778884,383.5323062855501,7.926282099298124
VI,173.3426388030158,35.94841454710907,1159.777618553062,7.804085084528329
VI,176.35718937471745,35.48256919896696,452.66873497608526,7.663050499311992
VI,176.47986691651855,36.4154573634225,412.329566989896,7.378297563232345
VI,173.9927517540952,37.09695367286928,386.4563310105974,7.407476356020248
VI,172.88148827307583,37.033068450915934,516.4859494266153,7.426670508380476
VI,171.83727703042388,36.28380060452872,517.6667883914264,7.241247606623328
VI,166.19492098149604,34.574573556690765,899.4935527134202,7.356253073790239
VI,160.95233465065365,33.23848063232008,476.3142469479611,7.415204707923272
VI,155.26263626476873,36.743122993394266,770.2728516377312,7.745567124408253
VI,158.50933618194532,36.22364493484793,510.74382881161927,7.704402577063345
VI,165.47901272871647,37.18696723830021,706.4807480571639,7.595937705406969
VI,165.83365276758332,35.824793935623624,384.4220253937991,7.921973279777014
VI,169.63934942716384,35.29093599399545,467.4833626311166,8.177471215918501
VI,170.3557516662295,35.56284308680677,326.6702552819451,8.163451037536658
VI,168.63546543291588,35.6773242684496,5833.672387232783,7.800367911262479
VI,171.20768820066706,36.88624911873481,329.3149485007067,7.187026582635948
VI,166.20147833976384,37.4424882047024,327.75283135616974,7.274839227614128
VI,164.1743308436783,36.00386705185217,2755.167871977604,7.375873443676623
VI,159.05324592287468,34.42444332426246,415.943993868515,7.59367983063636
VI,158.47046499601885,37.59798504380258,363.8273377661063,7.394665740450399
