scan,range_m,n,ux,uy,uz,ts
2169,3.0506529614984075,20197,0.9964582149742978,0.0826874518958313,0.015290883205718505,1751969531.231
2170,3.0474509443628452,20454,0.9964489636023898,0.0832016254996113,0.012921008085507737,1751969531.567
2171,3.0442480780414383,20395,0.9964397208873691,0.08364691130828755,0.010539301043506562,1751969531.901
2172,3.0410703156574663,20624,0.9964299386040619,0.08403011243930386,0.008143565370465958,1751969532.235
2173,3.0378914601738165,20761,0.9964201271806865,0.08434497237391479,0.005731996551644947,1751969532.57
2174,3.0347100484438374,20583,0.9964102681963097,0.08459092967469929,0.0033093881199309045,1751969532.903
2175,3.0315402181480287,20756,0.9964000387355301,0.08477136492728901,0.0008823243159443619,1751969533.239
2176,3.0283775930352554,20665,0.9963894443661221,0.08488634412423254,-0.0015439355532936411,1751969533.574
2177,3.0252095237041017,20754,0.9963786117523321,0.08493452405066297,-0.003973495537026341,1751969533.907
2178,3.0220156041129247,20687,0.9963679954278944,0.08491019422528548,-0.0064091031840279224,1751969534.243
2179,3.018801700034137,20724,0.9963574029228507,0.08481523624993008,-0.008848804478600465,1751969534.577
2180,3.015568876233139,20800,0.9963468732134659,0.08464982095781107,-0.011283441388168494,1751969534.911
2181,3.012289225129286,20886,0.996336972813967,0.08440708570014513,-0.01371424396417807,1751969535.246
2182,3.008976028851011,20750,0.9963277063425222,0.08408691427245708,-0.01613977764361435,1751969535.581
2183,3.005648302340944,20897,0.9963187800551562,0.08369356934966844,-0.018554647906051852,1751969535.914
2184,3.002301200313022,20896,0.9963102859648707,0.08322624325275878,-0.02095725446307104,1751969536.25
2185,2.998922494680714,20614,0.9963025132473189,0.0826814806908927,-0.023346838069370515,1751969536.583
2186,2.9955441757031407,20717,0.9962947890220588,0.08206698784742653,-0.02572358593084502,1751969536.918
2187,2.9921506595776566,20898,0.9962875426743507,0.08137677217915547,-0.028088311832605697,1751969537.252
2188,2.9887552846074565,20561,0.9962804470438446,0.0806162645954214,-0.030434991716742812,1751969537.583
2189,2.98536946867268,20958,0.9962733965296753,0.07978941600701561,-0.03275619728362697,1751969537.918
2190,2.9820030561402846,20863,0.9962660987142179,0.07889953880320091,-0.03505315006378416,1751969538.252
2191,2.978668727867703,20811,0.9962581489204513,0.07795216963789622,-0.037325058048720716,1751969538.583
2192,2.9753451901023173,21258,0.9962498660567128,0.07694120096283528,-0.0395759519958566,1751969538.918
2193,2.9719973485243893,21164,0.99624190542569,0.07586167612176013,-0.041797990020904174,1751969539.252
2194,2.968606043680939,21213,0.9962347166792118,0.07471301667461328,-0.04398129628000286,1751969539.583
2195,2.965220823149095,21311,0.9962273774576975,0.07350189815386611,-0.04613548928468007,1751969539.918
2196,2.961847704181631,21253,0.9962196333148958,0.07223319133453952,-0.04825772754245933,1751969540.252
2197,2.958482728364998,21476,0.9962114449140689,0.07090607343436396,-0.050349635275179605,1751969540.583
2198,2.955116512976941,21427,0.9962029577884325,0.06951638712502285,-0.052413154977187765,1751969540.918
2199,2.951750426485951,21442,0.9961941627656897,0.06807224035650006,-0.05443675380120743,1751969541.252
2200,2.9484007139305204,21697,0.9961847550699203,0.06658053618220246,-0.05641778060127371,1751969541.587
2201,2.9450701728076027,21620,0.9961744940145721,0.06503684199579347,-0.05836597174745771,1751969541.922
2202,2.9417209203964267,21634,0.9961642177826904,0.06343383842751582,-0.06027436728620696,1751969542.256
2203,2.9383555367019487,21849,0.9961540852815381,0.061773455957814444,-0.062137577325882244,1751969542.591
2204,2.9350012253547697,21902,0.9961434882056962,0.060055976670827245,-0.0639642913780866,1751969542.925
2205,2.9316406440477993,21750,0.9961328371805436,0.05827880651125135,-0.0657491551448733,1751969543.26
2206,2.9282485259207425,21833,0.9961227093512041,0.056442011991698925,-0.0674821991131397,1751969543.594
2207,2.921418287356503,21854,0.9961034428244518,0.052607548060434044,-0.07078401712493508,1751969543.929
2208,2.9179891693034103,21597,0.9960943277986558,0.05061172833692962,-0.0723501422396183,1751969544.263
2209,2.9145768306404265,21709,0.996085131651306,0.048573278395968505,-0.07385829086208234,1751969544.598
2210,2.9111991487239397,21671,0.9960754847344575,0.04649359772129565,-0.07531250946519989,1751969544.932
