trajectory,rms_mm,rms_pa_mm,actual_t_mm,fo_err_deg,fd_err_deg
VI,105.67020008751771,35.98141957600397,168.45089481195922,19.976815717850528,12.99296471995966
VI,104.71537587810816,36.332677550642,166.6404088155192,20.006854774483713,24.930780443335546
VI,102.51760341779509,34.162046106954655,160.68341660369472,10.409591384079556,96.03606867717552
VI,106.276744315014,36.47313613392474,165.2589843908219,3.3579513438707327,19.020841803691475
VI,105.86045368146412,36.47844832818436,168.79322243013587,8.621295090779837,16.30871972863709
VI,110.22859344402724,38.80572937631785,169.96884962551624,8.234347526365449,14.05300401304474
VI,110.8180931065844,39.95374621342594,169.86306510974444,10.401544768064866,75.6058751475471
VI,110.46212872948443,40.77798219227259,171.44778396515693,15.314990024403382,19.098409774502155
VI,111.46595696281408,41.84190977198672,173.05557220487063,24.20184655185831,14.49713090674318
VI,110.10717462672116,41.467034500170925,171.3719270384504,34.391344959445505,33.389263272947304
VI,101.74162379915803,38.15719722799841,165.9262948212101,35.225172045849,12.023126882306933
VI,103.44515334219643,37.52390044079951,168.27755087098166,28.015499258922034,14.415386681077186
VI,112.0817023410633,43.38369997024216,177.51955997016333,33.708082134932866,14.107147277750123
VI,113.68916631389315,43.137557634155904,176.3441319495969,26.555877648266293,13.059318597160447
VI,119.9980368254126,46.97868414664598,182.0529310752588,32.26164888928592,14.64056549059987
VI,117.96519480184855,45.19653386406843,177.16617154399933,29.79305597214377,13.746086322583015
VI,120.41058290459192,46.03217013153471,179.5849885730134,30.70042837289657,17.470901191298353
VI,112.29913214698117,38.80168142914678,168.25597302441992,18.796073833142145,16.47896035099466
VI,108.30821437179944,36.7469601335551,166.53387661732023,16.712041342636923,10.654132457853994
VI,105.54799198326388,35.0137858742637,162.07448209435097,9.333642289360574,37.91387023313883
VI,108.70083971694288,36.28541891932652,166.2218009934645,15.666002628414619,20.38890515031927
VI,113.57044814902208,40.27711180500497,172.10414120939282,22.678070503588394,14.672730044332928
VI,114.59416251057054,39.908968016637054,173.76320807019738,28.017725649146623,24.309322895940824
VI,110.91079875101124,40.311091611204745,176.8598137630935,35.70804281732899,14.178711163211167
VI,106.99353022380198,37.49691605871591,170.29116127162314,24.27056041762566,11.46776952078832
VI,104.67678415484008,36.01343116446957,169.91590492190204,18.744897736308303,15.78467021240561
VI,99.3851714807978,32.812393381199456,160.37786999832153,13.940543083574372,14.048816614769622
VI,97.16648608303,31.85851355631502,157.78197405066126,7.303039122088433,45.815625179249174
VI,96.7897554380526,32.24186620407109,155.7477880815278,3.0821472965379,21.20200582624609
VI,99.96181018054295,34.09791871565987,156.63320942082186,2.437621621378798,13.950688147119418
VI,108.26217130783073,37.01213482027179,166.53210986657817,10.930656488897451,12.996231197527614
VI,109.29181135752584,38.704539940945885,166.5644951455401,16.85430986576125,15.988032519389547
VI,107.91727384837942,37.51533521494422,170.080156484676,21.771948210797756,33.98539855349237
VI,106.61289466264192,36.241917590574296,169.4337840948769,21.025030618427124,13.46874183532925
VI,109.72082657858232,39.05977870668798,174.49178267631422,32.493074660270786,20.604674969995596
VI,101.06012138657476,33.41090053898797,165.5716985880463,24.725441083741842,15.066164530257254
VI,101.26670001641968,32.935554992519855,165.83326309692848,26.264668209443442,14.777966378051449
VI,94.46012855943846,29.869992784662003,157.10001002110857,15.308180721770729,9.404685415842033
VI,94.89366323384928,30.0418646274798,158.78378838905869,9.32115261546819,28.35570913633126
VI,106.59667880472956,36.02203714535933,171.05809752922448,23.820453583485893,11.489013542741251
VI,106.8693072665176,36.09175827369117,171.48020920575064,24.109312155855534,20.101439580878395
VI,110.09414301764056,36.855374354714655,173.00843258092084,18.680384083114756,9.134451251097824
VI,113.9097159993014,39.73385319287214,176.14123755856463,26.230413760017516,18.979614088540995
VI,113.10773051444286,38.77464768546353,174.27115266137977,25.053610924198523,16.44431104113509
VI,103.91774902076828,34.063507906692365,165.91727412863062,14.780633840477286,9.84060976162674
VI,99.17727375813644,32.128477037983046,159.2311359614502,4.581874150819935,12.552990998085294
VI,94.82276946072017,30.76652027345676,154.2334710388763,3.133764882543466,10.789795286469795
VI,97.50567595593591,33.319364881579546,159.51733986491897,1.6932179582117135,52.35978932528505
VI,98.11166220124616,33.321889421955724,165.15891266490954,3.3153080888572477,23.27732693827151
VI,98.4580946306633,31.90735101475305,166.9593868323557,7.883182768222058,7.904900529601865
VI,104.8530843018572,34.54135663002081,169.93148012513444,17.735023973997265,32.6686626955484
