traj,subset,kind,form,block,n,et_med,eR_med,g_gt_med
v,all(out-of-support extrapolation),p2l,ls,16,50,177.5005885793338,2.161499444652147,0.0453148109306713
v,all(out-of-support extrapolation),p2l,ls,17,50,178.07060562944216,2.035753066322056,0.0476924874412458
v,all(out-of-support extrapolation),p2l,ls,18,50,174.72884687459714,2.3239493972359613,0.0486604861222823
v,all(out-of-support extrapolation),p2l,ls,19,50,171.95335796578968,2.0542419892911106,0.04682410989052965
v,all(out-of-support extrapolation),p2l,ls,20,50,168.14539256710242,2.111682195703332,0.043802201926279
v,all(out-of-support extrapolation),p2l,ls,21,50,172.07208259818833,2.442384545973417,0.04353695999664545
v,all(out-of-support extrapolation),p2l,ls,22,50,171.66137561842942,2.3412911900757085,0.04514032173720085
v,all(out-of-support extrapolation),p2l,ls,23,50,169.75885972050307,1.6696080493227745,0.04755326149093785
v,all(out-of-support extrapolation),p2l,ls,24,50,172.33661424210732,2.226285474097299,0.05949601878455005
v,all(out-of-support extrapolation),p2l,ls,25,50,168.84675528854606,1.7909650469203173,0.0624716391679598
v,all(out-of-support extrapolation),p2l,ls,26,50,167.56278583118433,1.5094254329922827,0.06515478948952025
v,all(out-of-support extrapolation),p2l,ls,27,50,173.1584173401144,1.5129430894789149,0.06573000882817989
v,all(out-of-support extrapolation),p2l,ls,28,50,167.6733217346679,1.7971893613024137,0.061060959467826345
v,all(out-of-support extrapolation),p2l,ls,29,50,171.6817398957142,1.2449771120254978,0.0599276753004728
v,all(out-of-support extrapolation),p2l,ls,30,50,170.3404287634541,1.59592968100035,0.06073936250266415
v,all(out-of-support extrapolation),p2l,ls,31,50,169.71742988967486,1.8928237349215182,0.0611585620435673
v,all(out-of-support extrapolation),p2l,ls,32,50,178.21697218528598,1.6113498485046915,0.06196554578450595
v,all(out-of-support extrapolation),p2l,ls,33,50,180.123131195339,1.5705324834927334,0.061739357830437
v,all(out-of-support extrapolation),p2l,ls,34,50,177.36308564331242,2.1488725969283835,0.06351041036192676
v,all(out-of-support extrapolation),p2l,ls,35,50,176.17967537123332,1.8759731034030227,0.0686152162654361
v,all(out-of-support extrapolation),p2l,ls,36,50,177.53398626583993,2.403413281595908,0.0654736084386723
