scan_id,range_m,point_count,down_count,converged,ransac_fitness,icp_fitness,ransac_iters,n_corr,translation_error_m,attitude_error_deg,terr_vec_target_x,terr_vec_target_y,terr_vec_target_z,rot_err_axis_x,rot_err_axis_y,rot_err_axis_z,symmetry_equivalent_rotation_k,runtime_s,icp_rmse,angular_rate_deg_s
100,14.795613375424892,10812,3103,0,0.0012875536480686696,0.2349785407725322,18432,104,1.148102886513862,139.042327044125,1.0692141171696385,0.412378667391223,0.06975130355234183,-0.5013461661831728,0.6969617884671592,-0.5127341290279919,1,0.6763382999924943,0.061751412449398,8.469440266521497
105,14.79636906349882,11234,3249,0,0.0008583690987124463,0.267381974248927,24576,116,1.20672957365962,126.65184495381897,1.0505819873765558,0.20376690565506855,-0.5576314194021106,0.4984746466716878,0.6818878015230843,0.5353055695203915,2,0.8931264999555424,0.05890265011430805,9.508063806953501
110,14.7958664477873,9516,2963,0,0.001072961373390558,0.23133047210300428,26624,106,0.8034199274328166,94.85863843298031,0.23144782027466734,0.5992385036373378,-0.482523265806678,-0.3331628828095369,0.8171699413250728,-0.47035707766846224,0,0.7853467999957502,0.05517211095558747,7.156859372455735
115,14.795565109498657,9269,3008,0,0.001072961373390558,0.6427038626609443,12288,101,0.11939615514661084,1.2982006081855821,0.011819249666518275,-0.09613322274795626,-0.0698151178843515,0.7990476899725801,0.5298657580145731,0.2841919556094532,2,0.6337845999514684,0.043781669318509533,7.176349310620785
120,14.785051057033655,10441,3207,0,0.0006437768240343348,0.2034334763948498,71680,119,1.3504156459980776,130.22581497042242,1.1673168249019796,0.2843387338393175,0.616559268599395,0.3630411184920972,-0.017453908939519595,0.9316096324892407,0,1.212460100010503,0.05858755295051051,8.562350396293072
125,14.659026642294023,11449,3538,0,0.0008583690987124463,0.2351931330472103,10240,119,0.7581402530880383,63.29033876818949,-0.3346970131277327,-0.6802352342126837,0.005880381908093257,0.08022030637255897,0.7521998663747628,-0.6540336868015911,0,0.7961939999950118,0.056575353835396476,7.321411877841977
130,14.546768643248061,9958,3129,0,0.0012875536480686696,0.1592274678111588,12288,116,1.8199780419405591,155.63257387903246,1.5766927523794978,0.8744549944846153,-0.24837169798643954,0.5345101649371881,-0.01704642488626767,0.844990120047221,2,0.7378029000246897,0.048905887454753695,8.476610590501497
135,14.41719486420271,10940,3438,0,0.0008583690987124463,0.2575107296137339,16384,124,0.8512769921916258,93.12221455957173,0.11140746652135808,0.6746075768516635,0.5071148894406876,0.4264647950845091,0.8470696667258254,0.3171762258848018,0,0.8154454999603331,0.056847924662072745,8.499430369407245
140,14.296327223844521,9276,3044,0,0.0008583690987124463,0.28948497854077254,12288,114,0.6018498484080257,62.52414370741748,0.21362449301413744,-0.5617551445241771,0.03192136610230176,-0.4796637332641249,0.4544492659083057,0.7505988060918591,1,0.7420785999856889,0.058829468637359585,7.03748106540772
145,14.182943462871554,11321,3458,0,0.0019313304721030042,0.6622317596566524,10240,123,0.11544869366630542,4.921115107213008,0.008431913229103118,0.0523938503489037,-0.10252896251386723,0.8664976765019521,0.011571275793351581,-0.4990469739345513,2,0.7399986999807879,0.04237546441360016,7.916167643756837
150,14.077747969703605,10345,3208,0,0.001072961373390558,0.24763948497854077,30720,132,0.9290022207905918,36.91640679073034,0.3465921477843563,-0.5239254930655239,0.6844129506694956,-0.2688314255790445,0.9528411668103483,-0.14079550934824883,0,0.8896895999787375,0.05769638359224926,6.844053143101602
155,13.965763519158449,10353,3373,0,0.0015021459227467812,0.6457081545064378,26624,112,0.13422947138252805,5.999115159878954,0.01381932499560394,-0.11727531887647369,-0.06382066144063542,0.7924453790353587,-0.13320909798541095,-0.5952189995786593,2,0.8251314000226557,0.04337016917687197,6.842716726878014
160,13.85395377127082,9894,3168,0,0.001072961373390558,0.33369098712446355,16384,120,0.6057185178347202,65.6542163129717,0.10939297044920544,0.2087481551121364,0.5579895237380974,0.8070593146287643,-0.4741517565468877,-0.3519025070022237,0,0.7977213999838568,0.05845448263170203,9.163650656241595
165,13.736235167938338,11969,3615,0,0.001072961373390558,0.20064377682403434,10240,128,1.2705640736088202,63.02409751405748,0.6192290982709019,1.053479281004316,-0.347950849251262,-0.23835068749869115,0.957360403597671,0.16324829981413522,2,0.7604741000104696,0.05511092761306692,5.462103088886763
170,13.638922235136835,9817,3116,0,0.0019313304721030042,0.642274678111588,6144,121,0.1337263599168443,6.2819133274985,0.014815162893312327,0.012065637160410057,0.13235433761296733,0.8729244514849007,-0.16858599678208647,-0.45780089961551584,1,0.5820012000040151,0.04435036400277595,7.095460575155862
175,13.528133721300142,10639,3233,0,0.001072961373390558,0.2718884120171674,325632,114,1.2260685665755984,122.61100216597916,1.019524729752172,0.43989519351593676,0.5199092940985758,0.17403854346520975,0.9795590071103232,-0.10086990124683552,2,3.5189092999789864,0.057499562495836765,7.209907997521771
180,13.430570120334355,9743,3093,0,0.0012875536480686696,0.08583690987124463,4096,115,2.073319104017819,90.76477443955582,0.012193832393433857,-1.6224973953579302,1.2907384009138116,0.5514236441987905,0.6984367753482913,0.4561995566192563,1,0.5899703000322916,0.038142004261921526,7.834295146517881
185,13.334043398067557,10179,3218,0,0.0019313304721030042,0.18583690987124463,45056,134,0.8501202916316705,86.67144374963509,-0.008333949111693661,0.7862974325388508,-0.3230656328347717,0.07429927054947327,0.9730934517523671,0.2181026193159536,1,1.0469056000001729,0.058878401447138844,7.864743838435076
