dataset,order,scan,block_full,in_support,condition,kind,n_points,gt_norm,gr_norm,residual_rms_mm,trans_error_mm,rot_error_deg,patch_spread_mm
IV,18,18,0,False,N1,p2l,9422,0.01824251866053146,0.011358939427241435,54.73835990736487,118.6385247134737,2.2662820812152282,44.79928431847298
IV,18,18,0,False,N2,p2p,9422,0.020589945315344565,0.01622677596134075,58.8226376638773,116.99763714703668,4.0747799397237845,48.81305108534104
IV,18,18,0,False,N2,p2l,9422,0.014950230227798742,0.012360990465625426,55.41676327332607,123.16089821027609,4.724983532954604,48.81305108534104
IV,18,18,0,False,N3,p2p,9422,0.03437839579410086,0.019846596040948798,65.90323021216408,115.8127342919851,2.233144698840316,48.989790373379705
IV,18,18,0,False,N3,p2l,9422,0.03220864939893753,0.017356379136471867,62.6838008138812,118.5160684524803,2.2582234574742728,48.989790373379705
IV,19,19,0,False,raw,p2p,9439,0.05707572128627299,0.020191370217764567,67.82278710622617,117.04287454218161,2.2021421076118823,39.44845311865129
IV,19,19,0,False,raw,p2l,9439,0.05305234513536146,0.016630693909469325,64.90169502148498,122.81539666897172,1.798618729548948,39.44845311865129
IV,19,19,0,False,N1,p2p,9439,0.02208286197195253,0.015483920422080914,56.511411010489,105.3656599382141,2.1627932600283475,43.07009344120858
IV,19,19,0,False,N1,p2l,9439,0.01766110385713524,0.01285849038406343,53.50447168495774,113.24900434347352,1.9167813938249916,43.07009344120858
IV,19,19,0,False,N2,p2p,9439,0.02008548414138233,0.01670021769862897,57.36157450437645,111.29432101297448,3.833735176348602,46.6803205864443
IV,19,19,0,False,N2,p2l,9439,0.014597503685227848,0.014259022586166742,54.010574451248516,118.01015187105044,4.203946823727097,46.6803205864443
IV,19,19,0,False,N3,p2p,9439,0.03395818102073456,0.01962999211678684,64.26205074896771,110.64066300578538,2.0486950612636634,46.69985281855016
IV,19,19,0,False,N3,p2l,9439,0.03139754651731288,0.016916499514052424,61.44314795074597,113.65972996367691,2.1904522197351852,46.69985281855016
IV,20,20,0,False,raw,p2p,9378,0.05760979989056667,0.01975530885019933,66.64493775768167,108.93315413687132,2.4347659111085274,39.191992639736405
IV,20,20,0,False,raw,p2l,9378,0.052924476264772924,0.016166128715118234,63.76716434936855,114.96440838526797,1.8873097858695584,39.191992639736405
IV,20,20,0,False,N1,p2p,9378,0.019470776145429736,0.013691345745897929,54.41858910944927,96.04521171644073,2.4735296898936006,43.49433155146066
IV,20,20,0,False,N1,p2l,9378,0.014856684389675358,0.009945416636136475,51.2319371982044,104.33102501707411,1.8689012960087903,43.49433155146066
IV,20,20,0,False,N2,p2p,9378,0.01836608517606828,0.015399422716924788,55.46933111495257,102.21095386806348,4.150679809298368,47.71102254193403
IV,20,20,0,False,N2,p2l,9378,0.016150318718171654,0.01448658397584366,52.28862165898194,109.06120193356601,4.274752911652082,47.71102254193403
IV,20,20,0,False,N3,p2p,9378,0.03380134035105436,0.017919664063598056,62.257694364798034,101.89195776828501,2.380465486034152,48.484047395308274
IV,20,20,0,False,N3,p2l,9378,0.03298550059144401,0.01652498550500171,59.334745597826235,104.59910182453284,2.0228020324395164,48.484047395308274
IV,21,21,0,False,raw,p2p,9380,0.05777764398451273,0.019591685723655466,65.46977523464552,102.65586001248973,1.7869283470175412,37.81816488620677
IV,21,21,0,False,raw,p2l,9380,0.05245089051680301,0.015999196715607563,62.52833837314768,108.13640157126244,0.9646283071544409,37.81816488620677
IV,21,21,0,False,N1,p2p,9380,0.017878993277857125,0.012372882448993825,52.79054785334391,88.34585784665055,1.7673237066038425,42.55555630775005
IV,21,21,0,False,N1,p2l,9380,0.01369989159523506,0.008987759933858587,49.647789447457114,96.45761527804063,0.9913377486770255,42.55555630775005
IV,21,21,0,False,N2,p2p,9380,0.017005876012088278,0.014308965338986391,53.83072548736761,94.59941350724961,3.3587617103310974,45.26795525552775
IV,21,21,0,False,N2,p2l,9380,0.014709715832608687,0.011818175625584548,50.32833591483928,101.06117005786324,3.3292562621659196,45.26795525552775
IV,21,21,0,False,N3,p2p,9380,0.033336778689827276,0.016960528729477356,60.6752431318767,96.1932380191777,1.5652020884050555,46.48399969866962
IV,21,21,0,False,N3,p2l,9380,0.03152113924137544,0.014449275098955244,57.79418003766165,97.11850498701227,1.4706336389547827,46.48399969866962
IV,22,22,0,False,raw,p2p,9373,0.058269793982912495,0.019333885374569735,66.27779739134144,105.09983836418195,2.080037408265648,39.622384013043
IV,22,22,0,False,raw,p2l,9373,0.053571418149940896,0.015472121164903287,63.35304230415886,109.15957237706583,1.459247119231406,39.622384013043
IV,22,22,0,False,N1,p2p,9373,0.018224866017700524,0.013123904138586707,53.523675802602995,90.53956585507659,2.0713387453009124,42.85598397061518
IV,22,22,0,False,N1,p2l,9373,0.012560828415297189,0.009106968437521951,50.37657568551147,96.27789989312389,1.560636775851341,42.85598397061518
IV,22,22,0,False,N2,p2p,9373,0.017904095819633387,0.014700591819241467,54.7171681134669,96.77426136713918,3.9909259939775414,46.74498563410468
IV,22,22,0,False,N2,p2l,9373,0.0156744755119619,0.014126891987081468,51.27792801830257,101.77669333764322,3.8712621042781024,46.74498563410468
IV,22,22,0,False,N3,p2p,9373,0.03411696977019501,0.017437902681407814,61.66195533477228,98.88842553946412,2.0271355238545508,46.11643805374917
IV,22,22,0,False,N3,p2l,9373,0.03329350472838829,0.015960699426763474,58.89908736806203,98.89176098494416,1.6598202964796405,46.11643805374917
IV,23,23,0,False,raw,p2p,9380,0.05774290368527651,0.020060071874690815,66.26117768845224,99.97112217490128,2.387955519631358,79.14486347343374
