order,scan,dbs_mhat_m,raw_ete_mm,dbs_ete_mm,dbs_ete_sens_globalmed_mm,raw_eR_deg,dbs_eR_deg,dir_cos_vhat_realized,improved_primary,in_support,block_full,block_primary
397,397,0.1614407746967155,46.42385645713252,119.55598117205012,119.52343965471367,1.2556655587764645,1.2556655587764645,0.9289670916354462,False,True,7,4
398,398,0.16141148683587342,45.750700798923546,119.618502822019,119.61493988044556,1.1085306833168411,1.1085306833168411,0.9369527385565319,False,True,7,4
399,399,0.16121641998659897,47.25890635043954,118.53744238272309,118.7268538107455,1.4396571754123124,1.4396571754123124,0.9301205752720182,False,True,7,4
400,400,0.16118202551207383,46.983373296002085,117.01519033836826,117.23952219530801,0.790186930366957,0.790186930366957,0.9570029494438865,False,True,8,4
401,401,0.16114338422688587,47.90783130028012,117.37059960615514,117.63246204222146,1.3370579285950277,1.3370579285950277,0.938240706507888,False,True,8,4
402,402,0.15978865112919557,48.53052578114376,115.86879514583299,117.46965129319845,1.1214758677880128,1.1214758677880128,0.932478557743861,False,True,8,4
403,403,0.15975679327815154,49.51192729639999,115.94096080681538,117.5686957230115,1.4318600407977138,1.4318600407977138,0.918558936527183,False,True,8,4
404,404,0.15955672094358347,49.68579755846465,114.95013154579132,116.7775135466948,0.7476912012560634,0.7476912012560634,0.927979583359154,False,True,8,5
405,405,0.15951914974588752,50.63434668617805,115.1384514517665,116.99713087426129,0.947249275998469,0.947249275998469,0.9132761540786505,False,True,8,5
406,406,0.1583565785606429,49.78389497222503,113.73284063159707,116.74395782875274,0.8297436398742513,0.8297436398742513,0.9272457787092794,False,True,8,5
407,407,0.15723378663727436,53.07442799395871,111.76039639092377,115.848707683703,0.9685186927723333,0.9685186927723333,0.9016659160055723,False,True,8,5
408,408,0.15719156449188765,51.367813706881215,112.71296069271895,116.85352821798597,1.3069243133894604,1.3069243133894604,0.9067726140232419,False,True,8,5
409,409,0.15714775201149334,50.3607036069521,111.76975724596673,115.97415608062057,0.9204806013337077,0.9204806013337077,0.9311981862357596,False,True,8,5
410,410,0.15710216411535685,52.04806922652868,111.0594477921586,115.29518174004839,0.8322734889941106,0.8322734889941106,0.9206396216674769,False,True,8,5
411,411,0.15705430818554447,51.21822722841152,109.90810304347913,114.21308977206179,0.9207452561808945,0.9207452561808945,0.945393438621611,False,True,8,5
412,412,0.15700453443627907,53.37018942833457,108.23793196428481,112.58273799560986,0.8830008369573865,0.8830008369573865,0.941799120238413,False,True,8,5
413,413,0.15727442512774112,52.671419824628465,108.8995135947383,112.98249603486438,0.9772689834094019,0.9772689834094019,0.9446324215229065,False,True,8,5
414,414,0.1572403465251251,53.83026958402734,109.04266151922866,113.14291566915368,0.9857306832627237,0.9857306832627237,0.9293113785156188,False,True,8,5
415,415,0.15720558071505614,53.75370253609644,109.45957112856628,113.59015466787017,1.1429821824976605,1.1429821824976605,0.9243166398011055,False,True,8,5
416,416,0.15716948926890342,53.886308855361904,108.42864265884202,112.60383068964465,0.9265223163424879,0.9265223163424879,0.9356878787729018,False,True,8,5
417,417,0.15621125959002083,55.27428222135916,107.60848546114255,112.70288445479385,1.1965826738566125,1.1965826738566125,0.9194326050983068,False,True,8,5
418,418,0.15618183943510475,53.98117708428148,108.16405079673692,113.3003190064981,0.9414388292767364,0.9414388292767364,0.925601682774247,False,True,8,5
419,419,0.1561515553915394,55.34009013048739,107.62730989990474,112.77804585343193,1.123133651614662,1.123133651614662,0.9177980684210775,False,True,8,5
420,420,0.1561207218098616,53.4943854875842,109.76577242804849,114.94797780662586,0.9500001327114763,0.9500001327114763,0.9092172072214602,False,True,8,5
421,421,0.15582404594406474,53.37147948283014,109.12137182155368,114.6009249815051,1.1427228135519796,1.1427228135519796,0.915172533138486,False,True,8,5
422,422,0.155469933622955,55.158746487567015,109.36749117210542,115.15346751601146,1.0786202207936502,1.0786202207936502,0.8892829596868019,False,True,8,5
423,423,0.1554236777226982,53.20541833607926,109.50361002643017,115.36737969599902,1.189512923207103,1.189512923207103,0.9067361928931231,False,True,8,5
424,424,0.15535364100937007,54.80952445212385,109.29746672418997,115.20247786849222,1.108074286848213,1.108074286848213,0.8921405029722463,False,True,8,5
425,425,0.15531000179258517,54.215123430297325,111.4122306583018,117.34088866485746,1.4331294425663967,1.4331294425663967,0.8698057356247272,False,True,8,5
426,426,0.1552676522612731,53.3265369949306,110.38582041422315,116.38524549713135,1.232054559193704,1.232054559193704,0.891723248186076,False,True,8,5
427,427,0.1541659809930594,54.579984942538005,109.61958199643095,116.66142329676256,1.0408661780290775,1.0408661780290775,0.8752681174528805,False,True,8,5
428,428,0.15379855818593022,54.333685061157276,108.85591599004194,116.26705237832267,1.3813734280167267,1.3813734280167267,0.8829436402959586,False,True,8,5
429,429,0.1537634539872931,54.6311405045496,108.91712916521583,116.35380217642094,1.3324294696001964,1.3324294696001964,0.8788298021229737,False,True,8,5
430,430,0.15373600365288997,54.45920558708039,108.7346881752481,116.20476704677257,1.240505455149565,1.240505455149565,0.8825089741608078,False,True,8,5
431,431,0.153710941964451,54.32250545585617,109.034350494551,116.52630072527734,1.343916546749925,1.343916546749925,0.8796145468108303,False,True,8,5
432,432,0.15368501574679172,55.074866285644774,109.45651107336846,116.94821083137022,1.4391364524953585,1.4391364524953585,0.8666872757681204,False,True,8,5
433,433,0.1527217539003071,52.91641111038632,109.16542534868448,117.6334675389921,1.7111438707692044,1.7111438707692044,0.878983681200069,False,True,8,5
434,434,0.15195063030888448,52.593752453675705,109.50492015011056,118.7096174631733,1.3622408671112713,1.3622408671112713,0.8673905049231883,False,True,8,5
435,435,0.15196092717836795,51.20921378301875,108.82885732412211,118.07539206502229,1.77142033385268,1.77142033385268,0.8912325862932625,False,True,8,5
436,436,0.15197187650518443,49.1401799704758,110.70528367309188,119.95721756380942,1.1133511669052019,1.1133511669052019,0.8874317873135488,False,True,8,5
437,437,0.15198196298727717,47.387479203856834,110.60004401948481,119.88815875264616,1.2737132944220924,1.2737132944220924,0.9102779684305221,False,True,8,5
438,438,0.15199188657642806,46.553988241635594,111.07611861902934,120.3652749139209,1.5586168571961698,1.5586168571961698,0.9137377536691392,False,True,8,5
439,439,0.1520026156792439,46.30681165505741,110.83627776685366,120.12580321641693,1.2982336852206062,1.2982336852206062,0.9209322355710394,False,True,8,5
440,440,0.15201302281817602,44.382478725424406,111.60515896546828,120.91393030299986,1.0756573399095017,1.0756573399095017,0.9354220892584235,False,True,8,5
441,441,0.15203814197458512,43.993810914212425,111.8076914397146,121.0968139736286,1.1583165919981218,1.1583165919981218,0.9381510771447548,False,True,8,5
442,442,0.15205423239780846,43.43487057439929,112.0120936066304,121.29395659379662,1.1443033204029864,1.1443033204029864,0.9433304300883333,False,True,8,5
443,443,0.1522091372532541,41.84799052042438,112.86319613113257,122.01164831776848,1.143012760435181,1.143012760435181,0.9561578236826135,False,True,8,5
444,444,0.1522291139853419,43.08649042501265,110.6276321823442,119.7747589987793,1.3011985345984054,1.3011985345984054,0.9751212215306491,False,True,8,5
445,445,0.15225040861595107,41.06736204747513,113.6095677499977,122.71966185450815,1.102113662050279,1.102113662050279,0.9563804826940775,False,True,8,5
446,446,0.15227312610069682,41.820390747252794,112.973202434489,122.05773369478068,1.1930796905500594,1.1930796905500594,0.9557846289984583,False,True,8,5
447,447,0.15229078376874397,41.21293764833442,114.66238622103464,123.71113250218893,1.2265429781441612,1.2265429781441612,0.935537785424037,False,True,8,5
448,448,0.15230383343137271,40.77190334958695,114.76482255583504,123.80777914906034,1.1007026771570794,1.1007026771570794,0.9410928833216284,False,True,8,5
449,449,0.1523158268122602,41.72537875611388,113.42636471244423,122.46272465145864,1.3115713017124162,1.3115713017124162,0.9500197111437502,False,True,8,5
450,450,0.15232657242331632,42.160759388114,112.93080534095017,121.95701955224644,1.1145000273759738,1.1145000273759738,0.9519743972405803,False,True,9,5
451,451,0.152336450416022,42.725189952180116,113.34242025770591,122.33967725644442,1.103829269111963,1.103829269111963,0.9360941426582593,False,True,9,5
452,452,0.1526263863184608,44.28446499730048,112.09016503256598,120.79597827109373,1.2911380479262198,1.2911380479262198,0.9388788365441195,False,True,9,5
453,453,0.15263419739312672,42.75137260849045,113.38141184344875,122.08758527815696,1.1890551722021994,1.1890551722021994,0.9401478244803422,False,True,9,5
454,454,0.1530523421284195,44.02421890679462,113.3549081618078,121.62918860345135,1.1511889237858424,1.1511889237858424,0.9285988312799446,False,True,9,6
455,455,0.15307306556366676,44.4262135900292,113.24826657803382,121.4962533734197,1.4004953636909572,1.4004953636909572,0.9249292008354892,False,True,9,6
456,456,0.15370723737724273,45.221705902816524,113.25721697308356,120.87318153624807,1.1885889188063157,1.1885889188063157,0.9238885520663475,False,True,9,6
457,457,0.1538715794567007,45.41678611007341,111.62617261050339,119.1053375068877,1.1131375482774355,1.1131375482774355,0.9500626077058971,False,True,9,6
458,458,0.1539027292284126,45.78245077458617,112.03679557330399,119.47191984148888,1.2961824423860075,1.2961824423860075,0.9388132593191438,False,True,9,6
459,459,0.1548883384434296,45.68602849577998,112.73519421439683,119.19996881763511,1.2355775057112037,1.2355775057112037,0.9445976756416139,False,True,9,6
460,460,0.1549333146502549,45.48322810454073,112.836973099133,119.25959211969564,1.2300568891648926,1.2300568891648926,0.9465818623938695,False,True,9,6
461,461,0.1549813561576247,45.29557514374652,111.84147963439308,118.23458976246641,1.1478714198230757,1.1478714198230757,0.9659866044255071,False,True,9,6
462,462,0.1554946323061637,45.71999161818638,113.74120756241332,119.59931713835124,1.2747676389297489,1.2747676389297489,0.9376449598605043,False,True,9,6
463,463,0.15644698793543818,46.45800387447333,113.43318030815418,118.35280935651079,1.1794398831812734,1.1794398831812734,0.9470633570804697,False,True,9,6
464,464,0.15651881059921272,47.857744095012166,113.66251367876852,118.49180823009517,1.1934083392316954,1.1934083392316954,0.9257780336522182,False,True,9,6
465,465,0.15663260022928208,49.410157875711334,111.63357227515596,116.35431710006054,1.0084619085746804,1.0084619085746804,0.9376293972786176,False,True,9,6
466,466,0.15669446814317436,50.4999861019639,111.0822489516996,115.7346395495504,0.9826299136508461,0.9826299136508461,0.9328959416270052,False,True,9,6
467,467,0.15724105310668024,51.442455213141926,110.50984719116971,114.62323323554018,1.0939136255728168,1.0939136255728168,0.9370070519693899,False,True,9,6
468,468,0.15731374081331448,52.0583683117619,110.69829938026662,114.73155214155447,1.0658567249913296,1.0658567249913296,0.9282361240210264,False,True,9,6
469,469,0.15735849929414314,53.47394158258776,108.01742919249502,112.01802425657013,1.030377705909943,1.030377705909943,0.947961528571904,False,True,9,6
470,470,0.1574114283439102,51.48419187675644,110.8120336538014,114.75550880896,1.1477901344577965,1.1477901344577965,0.9346803291288006,False,True,9,6
471,471,0.15683162191766362,49.42327815027231,111.97772128640496,116.50005423252097,1.197261417242649,1.197261417242649,0.9353347587963486,False,True,9,6
472,472,0.1569256877994916,48.40052437078141,113.35294786871488,117.78132455622688,1.184813816932714,1.184813816932714,0.9294839092963392,False,True,9,6
