trajectory,block,n,raw_et_med,raw_eR_med,raw_gt_med,raw_gr_med,patch_et_med,patch_eR_med,patch_gt_med,patch_gr_med,shuf_et_med,shuf_eR_med,shuf_gt_med,shuf_gr_med,shuf_ens_et_med,shuf_ens_et_lo,shuf_ens_et_hi,d_et_patch_raw,d_et_shuf_raw,d_et_patch_shuf,d_eR_patch_raw,d_eR_shuf_raw,d_gt_patch_raw,d_gt_shuf_raw
V,10,50,168.96295423730055,3.64672923576538,0.06293263070939514,0.01455772197707585,120.50256853098193,4.100781666042655,0.05211123045165785,0.01829260753634945,162.15810009633708,3.62461584617618,0.0575321850415381,0.0119057389249934,176.3818500869298,149.2292621237643,186.35297071530346,48.111853808415454,6.406412043431658,42.288722902048775,-0.35062186336390244,-0.2303846149668187,0.0102763545362799,0.00454935684733325
V,11,50,170.67853674347379,3.2662904065637886,0.060292204439840846,0.01316538536714365,123.59038564339926,3.6794769235876355,0.049659458924733,0.0167129103001135,171.62195721522363,3.2246382105862894,0.0588274028378663,0.016951594010208848,166.02607741909384,141.39663904325258,193.16562285473543,47.594157954739906,1.5149398798930065,46.025395197425965,-0.30867184485967836,0.046087030252371645,0.00850971467794465,0.0025712387628780004
V,12,50,172.83799019341944,3.390271024151634,0.0602279404007005,0.0122928223776033,127.72913933765642,4.1771313911285395,0.048169096663243954,0.0162251173291891,172.65427805290113,3.082087252537899,0.05391907265762385,0.01063761936919485,185.50818082291278,158.222199117745,199.97386454723232,44.890522520393176,1.6744434550236775,44.417002387552934,-0.6405548095146081,0.23504369419439386,0.012702024364639599,0.00559941513658905
V,13,50,174.30873597797734,2.8826302227649476,0.05697401185856725,0.01164955767017625,124.55927313928547,3.0840969364144293,0.048142564188448145,0.015818132597856048,173.75829791149306,3.4348662021616665,0.0541974777882466,0.01542510680337525,165.69671017015025,143.04005458215417,187.5866507344623,50.1542456799998,3.1170457073613704,43.748224885310265,-0.36932173688283343,-0.523299931381572,0.00811215887165335,0.00247813594395
V,14,50,175.43128424497053,3.011143254407582,0.05913431210387965,0.01342176398246225,130.44361616992836,3.8635990571311325,0.04834721733386285,0.018049618033663,172.06103445507222,2.547831198378831,0.05286535132196405,0.01293752543214605,188.222368913678,161.94020275828268,203.60721839468744,43.37563578606531,3.250501981396553,41.86179134140855,-0.7928746987313584,0.4028283023908966,0.01029968153756845,0.0036930967040881
V,15,50,175.95185884510704,3.0055375507350837,0.0548525082654548,0.01315246013912945,129.96034498359242,3.4279763363383866,0.0493620106058638,0.017807496802115748,174.2321914897934,3.1386649228172336,0.05463320901054585,0.01725906659157385,166.44514765648074,146.73194685213525,189.69521998300723,48.2549727553873,3.602623763731458,41.20199697777201,-0.5069261315552496,-0.19949911457225808,0.00460290927553725,0.000514528614247
V,16,50,178.7071564082866,2.838148001640003,0.054528709279919846,0.015026822277730851,135.089995682734,3.404934474889475,0.04883099088957525,0.0196632070281183,175.65150117896752,2.8112770415131387,0.0504894564678514,0.011663369652602399,188.921036930022,165.14060550340156,199.79991728621474,43.25741564429869,4.248671122122303,40.05669502958406,-0.7107961721104807,0.11700877029477899,0.0060961479993897,0.0037530977668906503
V,17,50,180.39526434194084,2.8258230337060857,0.0523988678800293,0.0129574216178472,138.58759877878992,2.805256915668504,0.0477410088888649,0.0179988383995969,183.05689214327583,2.4318373612140594,0.05666163883912245,0.021304181520917148,185.31927262836905,169.93002147856913,206.25626802762847,42.44745386027688,-3.132844545484957,44.59976299923906,0.0173270132873251,0.4667830109562261,0.0040513550287473495,-0.0034173871703005
V,18,50,175.18980598901973,3.1161293393994622,0.05385192333434155,0.01984270380779795,131.68039905721403,3.1497785480343303,0.050100063760265906,0.0207002782546371,172.83593386832575,4.033379501400386,0.0479992272305935,0.0125539453129279,175.29677531084974,148.04905401050974,185.66102536774747,47.22201121636589,6.410940381872479,37.78959256116031,-0.22384516895239265,-0.9377664227759759,0.0027719176436328498,0.00352885589192215
V,19,50,173.73269269161779,2.873349320557381,0.05375530822476785,0.0187290307435274,136.25200347405138,3.8877562053716277,0.053109216858554145,0.02034692198965685,173.90280158674716,2.355363647154311,0.05413760197321605,0.01722522920004945,188.90658828130483,172.20603617747526,208.20778594206234,37.57606968001795,-1.658503869034348,37.16227471564457,-0.9774301469763644,0.5070595065702281,0.00072016393438305,-0.00022382203164745
V,20,50,171.048455143692,2.196485688154266,0.0467200047684677,0.0121443628259159,132.3115346310999,2.809919701644686,0.0455240741417599,0.013727821730790301,176.1725844493119,3.0509478115044244,0.04748181591133105,0.013433719521670651,163.8360926403014,146.44247216722306,189.1320666123708,39.23056812678429,-0.0337507931003387,39.878324243967384,-0.2380192772915036,-0.6568814707853383,0.00178214762735155,-0.00034414968834765
V,21,50,174.02381339743982,2.841385136159667,0.048646660568976596,0.014119256348738299,134.93638520487175,3.6105313684765563,0.04976146670816775,0.016375005112077103,174.51443955090238,4.297793768801448,0.04714801974606485,0.01017912228406345,180.7160866982623,150.31592020504033,192.16798181309005,40.09463981369409,3.7432630962599944,35.59349151270869,-0.4214806749934973,-0.4861541146419126,-0.00218387303714145,0.0008703114500776
