table,trajectory,method,block,n_frames,median_translation_mm,median_rotation_deg,axis,block_benefit
paired,II,Patch+Trim vs Patch LS,0,50,,,translation,24.504716919665455
paired,II,Patch+Trim vs Patch LS,1,50,,,translation,3.9219154888172767
paired,II,Patch+Trim vs Patch LS,2,50,,,translation,13.857480448489355
paired,II,Patch+Trim vs Patch LS,3,50,,,translation,-0.8591538989768317
paired,II,Patch+Trim vs Patch LS,4,50,,,translation,-11.821238638742049
paired,II,Patch+Trim vs Patch LS,5,50,,,translation,0.6084377437451991
paired,II,Patch+Trim vs Patch LS,6,50,,,translation,67.50732916302401
paired,II,Patch+Trim vs Patch LS,7,50,,,translation,3.05640356620437
paired,II,Patch+Trim vs Patch LS,8,28,,,translation,26.14906360799947
paired,II,Patch+Trim vs Patch LS,0,50,,,rotation,-0.20155247024447304
paired,II,Patch+Trim vs Patch LS,1,50,,,rotation,0.24453461363744755
paired,II,Patch+Trim vs Patch LS,2,50,,,rotation,-0.0855850541214791
paired,II,Patch+Trim vs Patch LS,3,50,,,rotation,-1.276159560576834
paired,II,Patch+Trim vs Patch LS,4,50,,,rotation,-2.2148288461393975
paired,II,Patch+Trim vs Patch LS,5,50,,,rotation,-1.6559615989239225
paired,II,Patch+Trim vs Patch LS,6,50,,,rotation,-0.4489995721924624
paired,II,Patch+Trim vs Patch LS,7,50,,,rotation,0.5081401895419373
paired,II,Patch+Trim vs Patch LS,8,28,,,rotation,0.8437399458249248
paired,II,Patch+Trim vs Trim Raw,0,50,,,translation,50.16159229350947
paired,II,Patch+Trim vs Trim Raw,1,50,,,translation,8.253988269247984
paired,II,Patch+Trim vs Trim Raw,2,50,,,translation,-4.008520363404081
paired,II,Patch+Trim vs Trim Raw,3,50,,,translation,1.8067033358394866
paired,II,Patch+Trim vs Trim Raw,4,50,,,translation,2.936082449763717
paired,II,Patch+Trim vs Trim Raw,5,50,,,translation,5.7046734095717895
paired,II,Patch+Trim vs Trim Raw,6,50,,,translation,6.512580700397059
paired,II,Patch+Trim vs Trim Raw,7,50,,,translation,-16.19346687275571
paired,II,Patch+Trim vs Trim Raw,8,28,,,translation,9.733764285044586
paired,II,Patch+Trim vs Trim Raw,0,50,,,rotation,-0.3912701516141809
paired,II,Patch+Trim vs Trim Raw,1,50,,,rotation,-0.11969676409318608
paired,II,Patch+Trim vs Trim Raw,2,50,,,rotation,-0.8564298219159431
paired,II,Patch+Trim vs Trim Raw,3,50,,,rotation,-1.5515693347505892
paired,II,Patch+Trim vs Trim Raw,4,50,,,rotation,-1.54511735484206
paired,II,Patch+Trim vs Trim Raw,5,50,,,rotation,-1.5882766540294324
paired,II,Patch+Trim vs Trim Raw,6,50,,,rotation,-0.08563571344213233
paired,II,Patch+Trim vs Trim Raw,7,50,,,rotation,-0.1773196742774441
paired,II,Patch+Trim vs Trim Raw,8,28,,,rotation,0.36894485573213137
paired,III,Patch+Huber vs Patch LS,0,50,,,translation,8.036123934984943
paired,III,Patch+Huber vs Patch LS,1,50,,,translation,15.989636755854299
paired,III,Patch+Huber vs Patch LS,2,50,,,translation,19.86545030739999
paired,III,Patch+Huber vs Patch LS,3,50,,,translation,2.907539136209614
paired,III,Patch+Huber vs Patch LS,4,50,,,translation,-3.4764589236771535
paired,III,Patch+Huber vs Patch LS,5,50,,,translation,-2.3403944592619528
paired,III,Patch+Huber vs Patch LS,6,50,,,translation,0.4754488348783923
paired,III,Patch+Huber vs Patch LS,7,21,,,translation,20.158707803814927
paired,III,Patch+Huber vs Patch LS,0,50,,,rotation,-0.331183194786264
