geometry,dtype,mag,form,n,et_med,et_lo,et_hi,eR_med,eR_lo,eR_hi,grad_med,grad_lo,grad_hi,on_bound
GA,D1_appendage_disp,50.0,huber,20,43.70996735258336,43.648039694556786,44.296270950344926,0.020407670788046152,0.0197915386249825,0.02151123684653225,0.008923381334615649,0.008913679207413549,0.009756114399270401,0.0
GA,D1_appendage_disp,50.0,ls,20,39.16299536763985,39.15758901544824,39.27328965338761,0.008051180126289949,0.00788550706262795,0.008301192380480549,0.051043674673671394,0.05103454184329035,0.05584454244283185,0.0
GA,D1_appendage_disp,50.0,trim,20,50.68385125231589,50.56931267235046,50.70109700777009,0.00672614109219885,0.0063335339612646,0.007133878701419001,,,,0.0
GA,D1_appendage_disp,100.0,huber,20,95.4716645738304,95.45843876362883,96.16999356738333,0.697593891908409,0.6971843420883208,0.8774037498376146,0.00903657966717,0.009015807546948699,0.0098708979125927,0.0
GA,D1_appendage_disp,100.0,ls,20,80.72999486975826,80.72212553347164,81.27303666335965,0.5246349696698357,0.5242384481598603,0.5310967248930816,0.1019468188339472,0.1019320109099051,0.11155877377718476,0.0
GA,D1_appendage_disp,100.0,trim,20,99.24677069103221,99.22602450205437,99.27224243605771,0.7201457024580674,0.6371926612109244,0.7208869160014408,,,,0.0
GA,D2_missing_component,0.0,huber,20,0.01431820857046575,0.012307938301542462,0.0207627451469485,0.0012123335868302,0.0009208486589256,0.00149398900551925,1.3230555620031758e-05,1.0379700789012213e-05,1.5804908666065934e-05,0.0
GA,D2_missing_component,0.0,ls,20,0.01431820857046575,0.012307938301542462,0.0207627451469485,0.0012123335868302,0.0009208486589256,0.00149398900551925,2.6461111240063872e-05,2.0759401578024105e-05,3.160981733213172e-05,0.0
GA,D2_missing_component,0.0,trim,20,0.018840113208273203,0.01444476022638695,0.0247641156214521,0.0013041959037419,0.0008462783879546,0.0016952926896204,,,,0.0
GA,D2_missing_component,0.25,huber,20,0.0133876918525882,0.01161288332416225,0.01894259805299885,0.0012134229578894,0.0009191594846539,0.00143107019029725,1.430926599124918e-05,1.3067713817618165e-05,1.7839417521140216e-05,0.0
GA,D2_missing_component,0.25,ls,20,0.0166850166241031,0.012095684423218851,0.01786566265680145,0.0015324435866688,0.0012340134174426,0.00181002994700015,3.2606297496639776e-05,2.688121758145334e-05,3.543876482175229e-05,0.0
GA,D2_missing_component,0.25,trim,20,0.0182109314536423,0.01448815387174385,0.021982272398730258,0.001553489079051,0.00135012833037565,0.0017256250932916502,,,,0.0
GA,D2_missing_component,0.5,huber,20,0.013277409020262951,0.0107896134018048,0.0183909990319466,0.0012950145341515,0.00095500964321485,0.0016360972427867499,1.420177409356927e-05,1.1716908235107345e-05,1.7030777252407775e-05,0.0
GA,D2_missing_component,0.5,ls,20,0.06270682893824905,0.060904186558529846,0.06996292849963776,0.00432000035749765,0.0035943143497508,0.0046733019240607,0.0002055925644648,0.00019957930865135,0.00021529579995023748,0.0
GA,D2_missing_component,0.5,trim,20,0.01743231412729425,0.01440651994906635,0.02062675848506955,0.0014582607211064001,0.0008796803498941,0.0018506882254839,,,,0.0
GA,D2_missing_component,0.75,huber,20,0.0162318921817847,0.0112530068761646,0.0215616191274376,0.0011841727742341501,0.0007960752862153999,0.00155871154134535,1.483592205884766e-05,1.3428888939082557e-05,1.8590105568318732e-05,0.0
GA,D2_missing_component,0.75,ls,20,0.0167861779837093,0.0131266738826056,0.0217228464988971,0.0015693984961418,0.0013142595629659,0.0020397458244064,4.290020303409064e-05,3.492502384452348e-05,4.853688621097369e-05,0.0
GA,D2_missing_component,0.75,trim,20,0.01582429936875815,0.01020535743649385,0.0234088040150872,0.0013590821766902498,0.0011310276929468,0.0015985442845040999,,,,0.0
GA,D2_missing_component,0.9,huber,20,0.0221355059464662,0.015850591794569602,0.0259506592411813,0.0012044461859737998,0.0009344522676981,0.0013760611129990498,1.2506892745908e-05,1.050789154441359e-05,1.4775671667493518e-05,0.0
GA,D2_missing_component,0.9,ls,20,0.017579143138981297,0.01363926530896715,0.0208918125553663,0.00135468108675025,0.0009912416829543,0.0015348304751249,3.308483057481709e-05,2.98028783305595e-05,3.921471396007493e-05,0.0
GA,D2_missing_component,0.9,trim,20,0.03566730723872105,0.024159111732751003,0.042899392331759406,0.0022555325731821,0.0017578236139226002,0.00310364785918165,,,,0.0
GA,D2_missing_component,1.0,huber,20,11.601123869756673,11.447594880811325,11.609483826818106,0.01648996509335445,0.0156431925506139,0.01676744195279875,0.00432943740719425,0.00432082647299565,0.00473215550552865,0.0
GA,D2_missing_component,1.0,ls,20,324.7052963979644,321.50648106175714,324.733795250387,2.8412054604319863,2.243019354619219,2.8449606937497087,0.4073463899304237,0.4073263149520794,0.44572451748330777,1.0
GA,D2_missing_component,1.0,trim,20,132.74533758092943,132.66397756950886,159.34664220996763,14.550399563102662,14.546169648533528,14.577118517093005,,,,0.3
GA,D3_local_surface_off,0.0,huber,20,0.01628186857932435,0.0105724460096367,0.02282520670777135,0.00103704088113155,0.0009095742601987001,0.00115501612191885,1.810619706058184e-05,1.5346312278796014e-05,2.249829143923911e-05,0.0
GA,D3_local_surface_off,0.0,ls,20,0.01628186857932435,0.0105724460096367,0.02282520670777135,0.00103704088113155,0.0009095742601987001,0.00115501612191885,3.621239412116307e-05,3.069262455759212e-05,4.499658287847837e-05,0.0
GA,D3_local_surface_off,0.0,trim,20,0.020143032353098153,0.01521438828738805,0.02519213138299295,0.0013097452673741,0.0011378541225762,0.0015050005727122498,,,,0.0
GA,D3_local_surface_off,2.0,huber,20,0.06041259208406695,0.0584273892249009,0.06285875694841589,0.00112222592697635,0.0009433084735575,0.00139486883000485,6.535094799806697e-05,6.253259390713886e-05,6.604101129027748e-05,0.0
GA,D3_local_surface_off,2.0,ls,20,0.06041259208406695,0.0584273892249009,0.06285875694841589,0.00112222592697635,0.0009433084735575,0.00139486883000485,0.0001307018959961,0.0001250651878142,0.0001320820225805,0.0
GA,D3_local_surface_off,2.0,trim,20,0.0404473576959117,0.037344281839787094,0.05059661242614235,0.0011793556208478,0.0008219417670597,0.00170097867664605,,,,0.0
GA,D3_local_surface_off,5.0,huber,20,0.14495318505994295,0.13742905592535395,0.1613918330494755,0.00259435304361155,0.0017109107367094,0.003099670307663,0.00015181110805805,0.00014618673107895,0.0001625572960548,0.0
GA,D3_local_surface_off,5.0,ls,20,0.14495318505994295,0.13742905592535395,0.1613918330494755,0.00259435304361155,0.0017109107367094,0.003099670307663,0.0003036222161162,0.00029237346215795,0.00032511460282515,0.0
GA,D3_local_surface_off,5.0,trim,20,0.0338773890386886,0.0278946743042487,0.0390457115362292,0.0016111587102573001,0.00123448446621685,0.0019500946788379,,,,0.0
GA,D3_local_surface_off,10.0,huber,20,0.29379470368299276,0.28316503616519034,0.3236257003146672,0.0041529014606618495,0.0037421633290964,0.006839230450103,0.00029949882951275,0.0002931572352575,0.00032485548651345,0.0
GA,D3_local_surface_off,10.0,ls,20,0.2937947036830061,0.28316503616519034,0.32362931298907366,0.0041529014606618495,0.0037421633290987,0.006839230450103,0.0005996195775389501,0.00058706589369555,0.0006505938696486999,0.0
GA,D3_local_surface_off,10.0,trim,20,0.02122258785405025,0.0157774273175386,0.023681762124825333,0.00137451627299175,0.0010009611202108,0.00170411467389955,,,,0.0
GA,D3_local_surface_off,25.0,huber,20,0.39336414451065616,0.38359099419839526,0.4309833239916322,0.00774680566555435,0.0073710944005134,0.01192488823824175,0.0003673797442891,0.00036306129672555,0.00040117335459289997,0.0
GA,D3_local_surface_off,25.0,ls,20,0.5559651619393513,0.5460959784473642,0.6189570129070854,0.01082389565712015,0.010287577544376699,0.01638995521429055,0.001057244560486,0.0010404945031222,0.0011486777967236001,0.0
GA,D3_local_surface_off,25.0,trim,20,0.0150260787785363,0.00979249767446225,0.028014429569922,0.0011905000759375,0.0010414493723733,0.001338156048502209,,,,0.0
GA,D3_local_surface_off,50.0,huber,20,0.32743553632135136,0.3163020713380186,0.351661986250412,0.0053664514438197496,0.0048239767479361,0.00837412280654765,0.00032303070048060004,0.00031840065854074997,0.00035349056695700004,0.0
GA,D3_local_surface_off,50.0,ls,20,0.901318928291024,0.8952729250531866,0.9992305734770512,0.0176022720562111,0.0166720552873806,0.02610141093210775,0.0018318857241737,0.0018212701885984002,0.0020039329239021,0.0
GA,D3_local_surface_off,50.0,trim,20,0.01839552200415305,0.014819714992516199,0.02145433925566225,0.0014229143476614,0.0012414204218529502,0.0018088656913652,,,,0.0
GA,D3_local_surface_off,100.0,huber,20,0.5016187174619418,0.4845658108564137,0.5488120408410893,0.0035883053562058,0.0030526786917771,0.0077654363567016,0.0004810084115608,0.00047592591757585,0.0005279334600658,0.0
GA,D3_local_surface_off,100.0,ls,20,2.3499286835345243,2.3416355876904302,7.607990204224485,0.030281781665367852,0.0291236142032762,0.04976723244857755,0.00441460327976985,0.0043987752680503,0.0048332232703186505,0.0
GA,D3_local_surface_off,100.0,trim,20,0.01895968320648345,0.0146058147914753,0.0234042668003802,0.0014362071955563,0.0011487249761854,0.00174182253916945,,,,0.0
