scan,fold,method,et_mm,eR_deg,iters,on_bound
66,0,PatchOOF,108.04499871430599,3.7101125650873015,38,0
66,0,PatchHuberOOF,84.99800160662953,3.1689847024663744,40,0
66,0,PatchFullFit,107.52062412106739,3.674123758317615,33,0
67,0,Raw,143.54164419911646,4.463697928248143,40,0
67,0,Huber,128.13138292110614,3.990568727392875,40,0
67,0,PatchOOF,100.04218878644255,5.0184227145434885,37,0
67,0,PatchHuberOOF,83.51453769921629,4.110684900292619,40,0
67,0,PatchFullFit,99.84566197751109,4.973050826158106,36,0
68,0,Raw,142.9144475278715,5.903854941432861,40,0
68,0,Huber,125.2300025993641,5.378195822422516,40,0
68,0,PatchOOF,100.00858339714883,6.201860459831361,40,0
68,0,PatchHuberOOF,83.03366139646833,5.294959036598539,26,0
68,0,PatchFullFit,99.99845440203426,6.175757397150855,40,0
69,0,Raw,138.08906217385436,4.794193440663338,28,0
69,0,Huber,124.9922614596308,4.336776793594948,40,0
69,0,PatchOOF,92.29048334743395,5.154993480800806,32,0
69,0,PatchHuberOOF,77.50285973555359,4.599740204552583,40,0
69,0,PatchFullFit,92.42331200062361,5.143842352733565,28,0
70,1,Raw,151.10847481377692,5.222106186648213,37,0
70,1,Huber,132.40601765963635,4.438331940242912,40,0
70,1,PatchOOF,104.7890225777311,5.450258351883534,40,0
70,1,PatchHuberOOF,83.0918951314569,4.417420081288625,35,0
70,1,PatchFullFit,105.22116756203616,5.495837612829422,38,0
71,1,Raw,152.70978278288007,4.565219008130872,25,0
71,1,Huber,132.629757062281,3.8302172259922793,35,0
